GENESIS-Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;
Deutschland;;;
;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto)
;;MWh;MWh
2013;Flüssiggas;.;.
2013;Raffineriegas;-;-
2013;Petrolkoks;.;.
2013;Sonstige Mineralölprodukte;.;.
2013;Erdgas, Erdölgas;40924932;39584447
2013;Grubengas;326578;322908
2013;Kokereigas;.;.
2013;Hochofengas;.;.
2013;Sonstige hergestellte Gase;-;-
2013;Wasserstoff;-;-
2013;Laufwasser;16116706;15885857
2013;Speicherwasser;726084;720889
2013;Pumpspeicherwasser;-;-
2013;Pumpspeicher mit natürlichem Zufluss;687216;661885
2013;Pumpspeicher ohne natürlichen Zufluss;5784124;5651419
2013;Windkraft;-;-
2013;Photovoltaik;-;-
2013;Geothermie;66634;57565
2013;Wärmepumpen (Erd- und Umweltwärme);-;-
2013;Solarthermie;-;-
2013;Feste biogene Stoffe;4442525;4010439
2013;Flüssige biogene Stoffe;.;.
2013;Biogas;860687;833259
2013;Biomethan (Bioerdgas);-;-
2013;Klärgas;43637;40508
2013;Deponiegas;60086;57388
2013;Sonstige erneuerbare Energien;.;.
2013;Klärschlamm;120292;110496
2013;Abfall (Hausmüll, Industrie);-;-
2013;Abfall (Industrie);944626;754149
2013;Abfall (Hausmüll, Siedlungsabfälle);10230725;8094470
2013;Kernenergie;97290037;92127246
2013;Wärme;472280;417238
2013;Strom (Elektrokessel);-;-
2013;Sonstige Energieträger;.;.
2013;Andere Speicher;-;-
2013;Insgesamt;462542646;431269663
2014;Steinkohlen;117517017;107734162
2014;Steinkohlenkoks;-;-
2014;Steinkohlenbriketts;-;-
2014;Kohlenwertstoffe aus Steinkohle;-;-
2014;Sonstige Steinkohlen;-;-
2014;Rohbraunkohlen;151580242;140791233
2014;Hartbraunkohlen;.;.
2014;Braunkohlenbriketts;131608;118299
2014;Braunkohlenkoks;.;.
2014;Wirbelschichtkohle;.;.
2014;Staub- und Trockenkohle;249330;227178
2014;Sonstige Braunkohlen;-;-
2014;Dieselkraftstoff;412;407
2014;Heizöl, leicht;556331;511960
2014;Heizöl, schwer;391988;359904
2014;Flüssiggas;.;.
2014;Raffineriegas;-;-
2014;Petrolkoks;.;.
2014;Sonstige Mineralölprodukte;.;.
2014;Erdgas, Erdölgas;32308958;31122121
2014;Grubengas;.;.
2014;Kokereigas;.;.
2014;Hochofengas;.;.
2014;Sonstige hergestellte Gase;.;.
2014;Wasserstoff;-;-
2014;Laufwasser;15172573;14965005
2014;Speicherwasser;551477;544901
2014;Pumpspeicherwasser;-;-
2014;Pumpspeicher mit natürlichem Zufluss;411388;395088
2014;Pumpspeicher ohne natürlichen Zufluss;5856899;5737565
2014;Windkraft;-;-
2014;Photovoltaik;-;-
2014;Geothermie;95028;65117
2014;Wärmepumpen (Erd- und Umweltwärme);-;-
2014;Solarthermie;-;-
2014;Feste biogene Stoffe;4747787;4281010
2014;Flüssige biogene Stoffe;.;.
2014;Biogas;1169481;1135402
2014;Biomethan (Bioerdgas);-;-
2014;Klärgas;33856;32538
2014;Deponiegas;79011;75516
2014;Sonstige erneuerbare Energien;.;.
2014;Klärschlamm;131877;120755
2014;Abfall (Hausmüll, Industrie);-;-
2014;Abfall (Industrie);1138843;899880
2014;Abfall (Hausmüll, Siedlungsabfälle);11591851;9203022
2014;Kernenergie;97129277;91800049
2014;Wärme;591779;558989
2014;Strom (Elektrokessel);-;-
2014;Sonstige Energieträger;.;.
2014;Andere Speicher;-;-
2014;Insgesamt;445529657;414426524
2015;Steinkohlen;116802799;106207512
2015;Steinkohlenkoks;-;-
